date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:23:22	43173/43173	---MCZ	200	added ('OK')	text/html	etag:W/%22590d37f5649daae49e765040385fcc60%22	https://renft-html.vercel.app/index.html	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/index.html	(from )
01:23:23	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Mar%202025%2008:23:22%20GMT	https://renft-html.vercel.app/robots.txt		(from )
01:23:23	4589/4589	---M--	200	added ('OK')	image/png	etag:%2251f8f4b40eafc1645a253785281ceedc%22	https://renft-html.vercel.app/assets/img/favicon.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/favicon.png	(from https://renft-html.vercel.app/index.html)
01:23:24	232948/232948	---MCZ	200	added ('OK')	text/css	etag:W/%22cd822b7fd22c8a95a68470c795adea69%22	https://renft-html.vercel.app/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/bootstrap.min.css	(from https://renft-html.vercel.app/index.html)
01:23:24	101835/101835	---MCZ	200	added ('OK')	text/css	etag:W/%229474b05a7c6fdfc44febf802f00df9c7%22	https://renft-html.vercel.app/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/fontawesome.min.css	(from https://renft-html.vercel.app/index.html)
01:23:25	77769/77769	---MCZ	200	added ('OK')	text/css	etag:W/%226cf0d6584098b8217ac58b6c75e54837%22	https://renft-html.vercel.app/assets/css/animate.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/animate.css	(from https://renft-html.vercel.app/index.html)
01:23:26	1429/1429	---MCZ	200	added ('OK')	text/css	etag:W/%22cfc49ceff3b3fc4744db93e633028edb%22	https://renft-html.vercel.app/assets/css/slick.min.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/slick.min.css	(from https://renft-html.vercel.app/index.html)
01:23:26	3989/3989	---MCZ	200	added ('OK')	text/css	etag:W/%2251b724c577e727905a98a07d387219f5%22	https://renft-html.vercel.app/assets/css/odometer.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/odometer.css	(from https://renft-html.vercel.app/index.html)
01:23:27	82905/82905	---MCZ	200	added ('OK')	text/css	etag:W/%22828837f44a2f6c1700cbaa429a1444fb%22	https://renft-html.vercel.app/assets/css/style.css	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/css/style.css	(from https://renft-html.vercel.app/index.html)
01:23:28	9828/9828	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22358c12058dc93510d2f17d0f3424591f%22	https://renft-html.vercel.app/assets/img/logo.svg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/logo.svg	(from https://renft-html.vercel.app/index.html)
01:23:28	43329/43329	---MCZ	200	added ('OK')	text/html	etag:W/%22094d576225b0b7064d23f5491e268e6d%22	https://renft-html.vercel.app/index-v2.html	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/index-v2.html	(from https://renft-html.vercel.app/index.html)
01:23:30	17553/17553	---MCZ	200	added ('OK')	text/html	etag:W/%220dbbe1000a171f7a9289eb2b72430b00%22	https://renft-html.vercel.app/blog.html	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/blog.html	(from https://renft-html.vercel.app/index.html)
01:23:31	12521/12521	---MCZ	200	added ('OK')	text/html	etag:W/%22799d5a6075b83a2220b71d82d5c0ec34%22	https://renft-html.vercel.app/blog-details.html	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/blog-details.html	(from https://renft-html.vercel.app/index.html)
01:23:31	292684/292684	---M--	200	added ('OK')	image/png	etag:%22e58d48e35888a890c7ebdc24a6c8a743%22	https://renft-html.vercel.app/assets/img/hero_img_1.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/hero_img_1.png	(from https://renft-html.vercel.app/index.html)
01:23:32	19065/19065	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22320743047436e15f4371836940895909%22	https://renft-html.vercel.app/assets/img/hero_circle_text.svg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/hero_circle_text.svg	(from https://renft-html.vercel.app/index.html)
01:23:32	4642/4642	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22145ac4cf5cede3b8303e5bd4a8d53730%22	https://renft-html.vercel.app/assets/img/hero_shape_1.svg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/hero_shape_1.svg	(from https://renft-html.vercel.app/index.html)
01:23:33	5860/5860	---M--	200	added ('OK')	image/png	etag:%22075ee2b888bc166948bcc948e21727a7%22	https://renft-html.vercel.app/assets/img/icons/icon_1.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/icons/icon_1.png	(from https://renft-html.vercel.app/index.html)
01:23:33	6106/6106	---M--	200	added ('OK')	image/png	etag:%227eba2d24c78069387500b394143b5fa7%22	https://renft-html.vercel.app/assets/img/icons/icon_2.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/icons/icon_2.png	(from https://renft-html.vercel.app/index.html)
01:23:34	7572/7572	---M--	200	added ('OK')	image/png	etag:%22ad0bd249257280aa8598547b2239cc69%22	https://renft-html.vercel.app/assets/img/icons/icon_3.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/icons/icon_3.png	(from https://renft-html.vercel.app/index.html)
01:23:35	8260/8260	---M--	200	added ('OK')	image/png	etag:%228ba5b15f607b304f4b6a4d73d4c55767%22	https://renft-html.vercel.app/assets/img/icons/icon_4.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/icons/icon_4.png	(from https://renft-html.vercel.app/index.html)
01:23:36	773614/773614	---M--	200	added ('OK')	image/png	etag:%229af13c8730771acaea098f4a6acb72c8%22	https://renft-html.vercel.app/assets/img/history_left_1.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/history_left_1.png	(from https://renft-html.vercel.app/index.html)
01:23:36	1014/1014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2299a832732f55fcbbf7f88fb9f0c5ac44%22	https://renft-html.vercel.app/assets/img/icons/tick.svg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/icons/tick.svg	(from https://renft-html.vercel.app/index.html)
01:23:37	106831/106831	---M--	200	added ('OK')	image/jpeg	etag:%22e65352477f2419149c3e9d74d9c878db%22	https://renft-html.vercel.app/assets/img/collection_1.jpeg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/collection_1.jpeg	(from https://renft-html.vercel.app/index.html)
01:23:37	113340/113340	---M--	200	added ('OK')	image/jpeg	etag:%2291cfe9fc08ac2d837ac1a92d7b817592%22	https://renft-html.vercel.app/assets/img/collection_2.jpeg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/collection_2.jpeg	(from https://renft-html.vercel.app/index.html)
01:23:38	83913/83913	---M--	200	added ('OK')	image/jpeg	etag:%221eb4b0d0cea91222048064ba4a2ac2ff%22	https://renft-html.vercel.app/assets/img/collection_3.jpeg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/collection_3.jpeg	(from https://renft-html.vercel.app/index.html)
01:23:38	87764/87764	---M--	200	added ('OK')	image/jpeg	etag:%222c762d94f93ca011fbc5565df1145086%22	https://renft-html.vercel.app/assets/img/collection_4.jpeg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/collection_4.jpeg	(from https://renft-html.vercel.app/index.html)
01:23:39	94523/94523	---M--	200	added ('OK')	image/jpeg	etag:%22d483ed6ccb3c40302ed0d5ad919e1a30%22	https://renft-html.vercel.app/assets/img/collection_5.jpeg	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/collection_5.jpeg	(from https://renft-html.vercel.app/index.html)
01:23:40	71736/71736	---M--	200	added ('OK')	image/png	etag:%22ea1903ec8282f1783ed02a8ee7330d27%22	https://renft-html.vercel.app/assets/img/vector_shape_1.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/vector_shape_1.png	(from https://renft-html.vercel.app/index.html)
01:23:40	97356/97356	---M--	200	added ('OK')	image/png	etag:%22e4b4124e38862350e883aa6d14979f6b%22	https://renft-html.vercel.app/assets/img/team_1.png	C:/My%20Web%20Sites/Neon%20Mint/renft-html.vercel.app/assets/img/team_1.png	(from https://renft-html.vercel.app/index.html)
